Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W]
00:10:00,4.330748E-02,7.716593E+02,5.683980E-02,5.643159E+02,1.165398E+03,2.836313E-01,7.378821E+03,4.330748E-02,0.000000E+00,0.000000E+00
00:20:00,4.330748E-02,7.761852E+02,5.388354E-02,5.265208E+02,1.110791E+03,2.839943E-01,7.385782E+03,4.330748E-02,0.000000E+00,0.000000E+00
00:30:00,4.330748E-02,7.807111E+02,5.107536E-02,4.903925E+02,1.058577E+03,2.842936E-01,7.391520E+03,4.330748E-02,0.000000E+00,0.000000E+00
00:40:00,4.330748E-02,7.852369E+02,4.839633E-02,4.557175E+02,1.008361E+03,2.845419E-01,7.396280E+03,4.330748E-02,0.000000E+00,0.000000E+00
00:50:00,4.330748E-02,7.897628E+02,4.696539E-02,4.350884E+02,9.793618E+02,2.847495E-01,7.400258E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:00:00,4.330748E-02,7.942886E+02,4.560203E-02,4.152200E+02,9.513692E+02,2.849242E-01,7.403603E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:10:00,4.330748E-02,7.973059E+02,4.431657E-02,3.977368E+02,9.261154E+02,2.851498E-01,7.407915E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:20:00,4.330748E-02,8.003231E+02,4.330748E-02,3.833637E+02,9.055084E+02,2.853521E-01,7.411784E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:30:00,4.330748E-02,8.033404E+02,4.330748E-02,3.803464E+02,9.024042E+02,2.855362E-01,7.415302E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:40:00,4.330748E-02,8.063576E+02,4.330748E-02,3.773292E+02,8.993000E+02,2.857047E-01,7.418523E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:50:00,4.330748E-02,8.093748E+02,4.330748E-02,3.743119E+02,8.961959E+02,2.858596E-01,7.421482E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:00:00,4.330748E-02,8.123921E+02,4.330748E-02,3.712947E+02,8.930918E+02,2.860027E-01,7.424216E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:10:00,4.330748E-02,8.146550E+02,4.330748E-02,3.690318E+02,8.907642E+02,2.861329E-01,7.426702E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:20:00,4.330748E-02,8.169180E+02,4.330748E-02,3.667688E+02,8.884362E+02,2.862544E-01,7.429022E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:30:00,4.330748E-02,8.191809E+02,4.330748E-02,3.645059E+02,8.861082E+02,2.863661E-01,7.431156E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:40:00,4.330748E-02,8.214438E+02,4.330748E-02,3.622430E+02,8.837800E+02,2.864689E-01,7.433119E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:50:00,4.330748E-02,8.237067E+02,4.330748E-02,3.599800E+02,8.814520E+02,2.865641E-01,7.434937E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:00:00,4.330748E-02,8.259697E+02,4.330748E-02,3.577171E+02,8.791238E+02,2.866527E-01,7.436629E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:10:00,4.330748E-02,8.282326E+02,4.330748E-02,3.554542E+02,8.767957E+02,2.867380E-01,7.438258E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:20:00,4.330748E-02,8.304955E+02,4.330748E-02,3.531912E+02,8.744676E+02,2.868178E-01,7.439782E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:30:00,4.330748E-02,8.327585E+02,4.330748E-02,3.509283E+02,8.721402E+02,2.868946E-01,7.441250E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:40:00,4.330748E-02,8.350214E+02,4.330748E-02,3.486654E+02,8.698121E+02,2.869692E-01,7.442675E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:50:00,4.330748E-02,8.372843E+02,4.330748E-02,3.464025E+02,8.674841E+02,2.870414E-01,7.444052E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:00:00,4.330748E-02,8.395473E+02,4.330748E-02,3.441395E+02,8.651559E+02,2.871111E-01,7.445383E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:10:00,4.330748E-02,8.410559E+02,4.330748E-02,3.426309E+02,8.636038E+02,2.871785E-01,7.446671E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:20:00,4.330748E-02,8.425645E+02,4.330748E-02,3.411223E+02,8.620518E+02,2.872437E-01,7.447916E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:30:00,4.330748E-02,8.440731E+02,4.330748E-02,3.396137E+02,8.604997E+02,2.873068E-01,7.449122E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:40:00,4.330748E-02,8.455817E+02,4.330748E-02,3.381050E+02,8.589477E+02,2.873680E-01,7.450290E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:50:00,4.330748E-02,8.470904E+02,4.330748E-02,3.365964E+02,8.573956E+02,2.874273E-01,7.451422E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:00:00,4.330748E-02,8.485990E+02,4.330748E-02,3.350878E+02,8.558442E+02,2.874848E-01,7.452520E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:10:00,4.330748E-02,8.470904E+02,4.330748E-02,3.365964E+02,8.573956E+02,2.875406E-01,7.453585E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:20:00,4.330748E-02,8.455817E+02,4.330748E-02,3.381050E+02,8.589477E+02,2.875947E-01,7.454619E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:30:00,4.330748E-02,8.440731E+02,4.330748E-02,3.396137E+02,8.604997E+02,2.876473E-01,7.455624E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:40:00,4.330748E-02,8.425645E+02,4.330748E-02,3.411223E+02,8.620518E+02,2.876985E-01,7.456601E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:50:00,4.330748E-02,8.410559E+02,4.330748E-02,3.426309E+02,8.636038E+02,2.877482E-01,7.457550E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:00:00,4.330748E-02,8.395473E+02,4.330748E-02,3.441395E+02,8.651559E+02,2.877966E-01,7.458473E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:10:00,4.330748E-02,8.342671E+02,4.330748E-02,3.494197E+02,8.705881E+02,2.878436E-01,7.459372E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:20:00,4.330748E-02,8.289869E+02,4.330748E-02,3.546999E+02,8.760196E+02,2.878894E-01,7.460247E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:30:00,4.330748E-02,8.237067E+02,4.330748E-02,3.599800E+02,8.814520E+02,2.879340E-01,7.461098E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:40:00,4.330748E-02,8.184266E+02,4.330748E-02,3.652602E+02,8.868841E+02,2.879775E-01,7.461928E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:50:00,4.330748E-02,8.131464E+02,4.330748E-02,3.705404E+02,8.923157E+02,2.880198E-01,7.462737E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:00:00,4.330748E-02,8.078662E+02,4.330748E-02,3.758206E+02,8.977479E+02,2.880611E-01,7.463525E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:10:00,4.330748E-02,7.950430E+02,4.851243E-02,4.472187E+02,1.011377E+03,2.804465E-01,7.318111E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:20:00,4.330748E-02,7.822197E+02,5.323709E-02,5.132105E+02,1.113196E+03,2.768985E-01,7.250331E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:30:00,4.330748E-02,7.693964E+02,5.810830E-02,5.808514E+02,1.216221E+03,2.732214E-01,7.180094E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:40:00,4.330748E-02,7.565731E+02,8.097376E-02,8.509823E+02,1.641888E+03,2.592068E-01,6.912449E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:50:00,4.330748E-02,7.437499E+02,8.626192E-02,9.233049E+02,1.721524E+03,2.552877E-01,6.837567E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:00:00,4.330748E-02,7.309266E+02,9.330218E-02,1.015348E+03,1.846988E+03,2.513095E-01,6.761584E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:10:00,4.330748E-02,7.165947E+02,8.427058E-02,9.280536E+02,1.710996E+03,2.582624E-01,6.894341E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:20:00,4.330748E-02,7.022628E+02,8.262204E-02,9.238417E+02,1.697883E+03,2.612954E-01,6.952274E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:30:00,4.330748E-02,6.879309E+02,8.098318E-02,9.197354E+02,1.683914E+03,2.645359E-01,7.014164E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:40:00,4.330748E-02,6.735990E+02,6.154720E-02,7.153512E+02,1.361346E+03,2.781773E-01,7.274672E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:50:00,4.330748E-02,6.592671E+02,5.989814E-02,7.111285E+02,1.346383E+03,2.817740E-01,7.343404E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:00:00,4.330748E-02,6.449352E+02,5.822307E-02,7.066103E+02,1.330768E+03,2.854696E-01,7.413997E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:10:00,4.330748E-02,6.321120E+02,6.145233E-02,7.557756E+02,1.399244E+03,2.859225E-01,7.422662E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:20:00,4.330748E-02,6.192887E+02,6.479035E-02,8.061643E+02,1.468605E+03,2.862559E-01,7.429036E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:30:00,4.330748E-02,6.064654E+02,6.818506E-02,8.571909E+02,1.537851E+03,2.865341E-01,7.434354E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:40:00,4.330748E-02,5.936421E+02,7.162053E-02,9.086761E+02,1.606655E+03,2.867684E-01,7.438832E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:50:00,4.330748E-02,5.808189E+02,7.508665E-02,9.605063E+02,1.674825E+03,2.869686E-01,7.442659E+03,4.330748E-02,0.000000E+00,0.000000E+00
10:00:00,4.330748E-02,5.679956E+02,7.858372E-02,1.012685E+03,1.742370E+03,2.871432E-01,7.445993E+03,4.330748E-02,0.000000E+00,0.000000E+00
