Time,FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FIRST_FLOOR_ZONE::Des Latent Heat Load [W],FIRST_FLOOR_ZONE::Des Latent Cool Load [W],FIRST_FLOOR_ZONE::Des Latent Heat Mass Flow [kg/s],FIRST_FLOOR_ZONE::Des Latent Cool Mass Flow [kg/s],FIRST_FLOOR_ZONE::Des Heat Load No DOAS [W],FIRST_FLOOR_ZONE::Des Sens Cool Load No DOAS [W],FIRST_FLOOR_ZONE::Des Latent Heat Load No DOAS [W],FIRST_FLOOR_ZONE::Des Latent Cool Load No DOAS [W],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SECOND_FLOOR_ZONE::Des Latent Heat Load [W],SECOND_FLOOR_ZONE::Des Latent Cool Load [W],SECOND_FLOOR_ZONE::Des Latent Heat Mass Flow [kg/s],SECOND_FLOOR_ZONE::Des Latent Cool Mass Flow [kg/s],SECOND_FLOOR_ZONE::Des Heat Load No DOAS [W],SECOND_FLOOR_ZONE::Des Sens Cool Load No DOAS [W],SECOND_FLOOR_ZONE::Des Latent Heat Load No DOAS [W],SECOND_FLOOR_ZONE::Des Latent Cool Load No DOAS [W],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,2.062832E+03,2.833581E+02,1.064526E-01,2.776521E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099602E+01,4.303004E+01,2.399889E+01,5.706302E+01,2.334289E+03,2.210667E+02,1.204524E-01,2.166070E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099528E+01,4.225520E+01,2.399934E+01,5.602609E+01
00:20:00,2.066174E+03,2.713138E+02,1.066237E-01,2.658513E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099590E+01,4.289670E+01,2.399894E+01,5.696184E+01,2.336602E+03,2.068740E+02,1.205718E-01,2.027012E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099528E+01,4.226543E+01,2.399937E+01,5.631326E+01
00:30:00,2.068865E+03,2.599845E+02,1.067613E-01,2.547511E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099583E+01,4.280400E+01,2.399898E+01,5.689871E+01,2.338574E+03,1.932807E+02,1.206736E-01,1.893825E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099528E+01,4.227424E+01,2.399939E+01,5.660436E+01
00:40:00,2.071036E+03,2.492640E+02,1.068724E-01,2.442475E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099577E+01,4.273905E+01,2.399902E+01,5.686815E+01,2.340269E+03,1.802244E+02,1.207611E-01,1.765901E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.228187E+01,2.399942E+01,5.689945E+01
00:50:00,2.072796E+03,2.389902E+02,1.069626E-01,2.341815E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099573E+01,4.269396E+01,2.399906E+01,5.686558E+01,2.341740E+03,1.676078E+02,1.208370E-01,1.642284E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.228849E+01,2.399944E+01,5.719873E+01
01:00:00,2.074230E+03,2.292655E+02,1.070362E-01,2.246516E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099571E+01,4.266332E+01,2.399909E+01,5.688715E+01,2.343023E+03,1.555089E+02,1.209032E-01,1.523731E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.229425E+01,2.399947E+01,5.750248E+01
01:10:00,2.076475E+03,2.209585E+02,1.071517E-01,2.165108E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099569E+01,4.264310E+01,2.399912E+01,5.692963E+01,2.344281E+03,1.441014E+02,1.209681E-01,1.411952E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.229931E+01,2.399950E+01,5.781094E+01
01:20:00,2.078493E+03,2.130892E+02,1.072557E-01,2.087992E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099567E+01,4.263029E+01,2.399914E+01,5.698906E+01,2.345403E+03,1.331814E+02,1.210260E-01,1.304951E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.230378E+01,2.399953E+01,5.812289E+01
01:30:00,2.080335E+03,2.056199E+02,1.073505E-01,2.014797E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099566E+01,4.262266E+01,2.399917E+01,5.706243E+01,2.346418E+03,1.227217E+02,1.210785E-01,1.202461E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.230774E+01,2.399955E+01,5.843771E+01
01:40:00,2.082025E+03,1.985236E+02,1.074377E-01,1.945257E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099566E+01,4.261862E+01,2.399919E+01,5.714769E+01,2.347342E+03,1.127000E+02,1.211261E-01,1.104262E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099530E+01,4.231128E+01,2.399958E+01,5.875537E+01
