Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W]
00:10:00,4.330748E-02,7.716593E+02,5.683877E-02,5.643044E+02,1.165067E+03,2.836311E-01,7.378817E+03,4.330748E-02,0.000000E+00,0.000000E+00
00:20:00,4.330748E-02,7.761852E+02,5.388339E-02,5.265191E+02,1.110570E+03,2.839941E-01,7.385777E+03,4.330748E-02,0.000000E+00,0.000000E+00
00:30:00,4.330748E-02,7.807111E+02,5.107616E-02,4.904014E+02,1.058447E+03,2.842933E-01,7.391515E+03,4.330748E-02,0.000000E+00,0.000000E+00
00:40:00,4.330748E-02,7.852369E+02,4.839811E-02,4.557376E+02,1.008307E+03,2.845415E-01,7.396273E+03,4.330748E-02,0.000000E+00,0.000000E+00
00:50:00,4.330748E-02,7.897628E+02,4.696291E-02,4.350605E+02,9.792643E+02,2.847492E-01,7.400251E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:00:00,4.330748E-02,7.942886E+02,4.560112E-02,4.152097E+02,9.513227E+02,2.849238E-01,7.403595E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:10:00,4.330748E-02,7.973059E+02,4.431726E-02,3.977445E+02,9.261151E+02,2.851493E-01,7.407908E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:20:00,4.330748E-02,8.003231E+02,4.330748E-02,3.833637E+02,9.055084E+02,2.853517E-01,7.411776E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:30:00,4.330748E-02,8.033404E+02,4.330748E-02,3.803464E+02,9.024042E+02,2.855358E-01,7.415295E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:40:00,4.330748E-02,8.063576E+02,4.330748E-02,3.773292E+02,8.993000E+02,2.857043E-01,7.418515E+03,4.330748E-02,0.000000E+00,0.000000E+00
01:50:00,4.330748E-02,8.093748E+02,4.330748E-02,3.743119E+02,8.961959E+02,2.858592E-01,7.421475E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:00:00,4.330748E-02,8.123921E+02,4.330748E-02,3.712947E+02,8.930918E+02,2.860023E-01,7.424208E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:10:00,4.330748E-02,8.146550E+02,4.330748E-02,3.690318E+02,8.907642E+02,2.861325E-01,7.426695E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:20:00,4.330748E-02,8.169180E+02,4.330748E-02,3.667688E+02,8.884362E+02,2.862540E-01,7.429015E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:30:00,4.330748E-02,8.191809E+02,4.330748E-02,3.645059E+02,8.861082E+02,2.863657E-01,7.431149E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:40:00,4.330748E-02,8.214438E+02,4.330748E-02,3.622430E+02,8.837800E+02,2.864685E-01,7.433112E+03,4.330748E-02,0.000000E+00,0.000000E+00
02:50:00,4.330748E-02,8.237067E+02,4.330748E-02,3.599800E+02,8.814520E+02,2.865637E-01,7.434930E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:00:00,4.330748E-02,8.259697E+02,4.330748E-02,3.577171E+02,8.791238E+02,2.866523E-01,7.436622E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:10:00,4.330748E-02,8.282326E+02,4.330748E-02,3.554542E+02,8.767957E+02,2.867376E-01,7.438251E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:20:00,4.330748E-02,8.304955E+02,4.330748E-02,3.531912E+02,8.744676E+02,2.868174E-01,7.439775E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:30:00,4.330748E-02,8.327585E+02,4.330748E-02,3.509283E+02,8.721402E+02,2.868943E-01,7.441243E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:40:00,4.330748E-02,8.350214E+02,4.330748E-02,3.486654E+02,8.698121E+02,2.869689E-01,7.442668E+03,4.330748E-02,0.000000E+00,0.000000E+00
03:50:00,4.330748E-02,8.372843E+02,4.330748E-02,3.464025E+02,8.674841E+02,2.870410E-01,7.444045E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:00:00,4.330748E-02,8.395473E+02,4.330748E-02,3.441395E+02,8.651559E+02,2.871107E-01,7.445376E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:10:00,4.330748E-02,8.410559E+02,4.330748E-02,3.426309E+02,8.636038E+02,2.871781E-01,7.446664E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:20:00,4.330748E-02,8.425645E+02,4.330748E-02,3.411223E+02,8.620518E+02,2.872433E-01,7.447909E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:30:00,4.330748E-02,8.440731E+02,4.330748E-02,3.396137E+02,8.604997E+02,2.873065E-01,7.449115E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:40:00,4.330748E-02,8.455817E+02,4.330748E-02,3.381050E+02,8.589477E+02,2.873676E-01,7.450283E+03,4.330748E-02,0.000000E+00,0.000000E+00
04:50:00,4.330748E-02,8.470904E+02,4.330748E-02,3.365964E+02,8.573956E+02,2.874269E-01,7.451415E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:00:00,4.330748E-02,8.485990E+02,4.330748E-02,3.350878E+02,8.558442E+02,2.874844E-01,7.452513E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:10:00,4.330748E-02,8.470904E+02,4.330748E-02,3.365964E+02,8.573956E+02,2.875402E-01,7.453578E+03,4.330748E-02,0.000000E+00,0.000000E+00
