Time,FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FIRST_FLOOR_ZONE::Des Latent Heat Load [W],FIRST_FLOOR_ZONE::Des Latent Cool Load [W],FIRST_FLOOR_ZONE::Des Latent Heat Mass Flow [kg/s],FIRST_FLOOR_ZONE::Des Latent Cool Mass Flow [kg/s],FIRST_FLOOR_ZONE::Des Heat Load No DOAS [W],FIRST_FLOOR_ZONE::Des Sens Cool Load No DOAS [W],FIRST_FLOOR_ZONE::Des Latent Heat Load No DOAS [W],FIRST_FLOOR_ZONE::Des Latent Cool Load No DOAS [W],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],FIRST_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SECOND_FLOOR_ZONE::Des Latent Heat Load [W],SECOND_FLOOR_ZONE::Des Latent Cool Load [W],SECOND_FLOOR_ZONE::Des Latent Heat Mass Flow [kg/s],SECOND_FLOOR_ZONE::Des Latent Cool Mass Flow [kg/s],SECOND_FLOOR_ZONE::Des Heat Load No DOAS [W],SECOND_FLOOR_ZONE::Des Sens Cool Load No DOAS [W],SECOND_FLOOR_ZONE::Des Latent Heat Load No DOAS [W],SECOND_FLOOR_ZONE::Des Latent Cool Load No DOAS [W],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],SECOND_FLOOR_ZONE:OTTAWA INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,2.062829E+03,2.834289E+02,1.064525E-01,2.777215E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099602E+01,4.303003E+01,2.399889E+01,5.702623E+01,2.334289E+03,2.209869E+02,1.204524E-01,2.165288E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099528E+01,4.225519E+01,2.399935E+01,5.596477E+01
00:20:00,2.066171E+03,2.713783E+02,1.066235E-01,2.659144E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099590E+01,4.289668E+01,2.399894E+01,5.692903E+01,2.336602E+03,2.068084E+02,1.205718E-01,2.026368E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099528E+01,4.226543E+01,2.399937E+01,5.625808E+01
00:30:00,2.068861E+03,2.600429E+02,1.067611E-01,2.548083E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099583E+01,4.280398E+01,2.399899E+01,5.686937E+01,2.338573E+03,1.932294E+02,1.206735E-01,1.893323E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099528E+01,4.227424E+01,2.399939E+01,5.655452E+01
00:40:00,2.071031E+03,2.493167E+02,1.068722E-01,2.442991E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099577E+01,4.273903E+01,2.399903E+01,5.684186E+01,2.340269E+03,1.801876E+02,1.207610E-01,1.765540E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.228186E+01,2.399942E+01,5.685429E+01
00:50:00,2.072791E+03,2.390377E+02,1.069624E-01,2.342280E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099573E+01,4.269394E+01,2.399906E+01,5.684195E+01,2.341739E+03,1.675858E+02,1.208370E-01,1.642068E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.228848E+01,2.399945E+01,5.715766E+01
01:00:00,2.074224E+03,2.293079E+02,1.070359E-01,2.246930E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099571E+01,4.266330E+01,2.399909E+01,5.686588E+01,2.343022E+03,1.555009E+02,1.209032E-01,1.523652E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.229425E+01,2.399947E+01,5.746499E+01
01:10:00,2.076469E+03,2.209981E+02,1.071514E-01,2.165497E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099569E+01,4.264308E+01,2.399912E+01,5.691043E+01,2.344280E+03,1.441075E+02,1.209681E-01,1.412012E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.229931E+01,2.399950E+01,5.777660E+01
01:20:00,2.078488E+03,2.131263E+02,1.072554E-01,2.088356E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099567E+01,4.263027E+01,2.399915E+01,5.697169E+01,2.345402E+03,1.332011E+02,1.210260E-01,1.305144E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.230377E+01,2.399953E+01,5.809131E+01
01:30:00,2.080329E+03,2.056547E+02,1.073502E-01,2.015137E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099566E+01,4.262264E+01,2.399917E+01,5.704669E+01,2.346418E+03,1.227543E+02,1.210784E-01,1.202781E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099529E+01,4.230774E+01,2.399955E+01,5.840855E+01
01:40:00,2.082020E+03,1.985562E+02,1.074374E-01,1.945576E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099566E+01,4.261860E+01,2.399919E+01,5.713340E+01,2.347342E+03,1.127448E+02,1.211261E-01,1.104701E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099530E+01,4.231127E+01,2.399958E+01,5.872835E+01
